Id,Giving Facts Rater 1,Giving Facts Rater 2,Advise Rater 1,Advise Rater 2,Share Personal Information Rater 1,Share Personal Information Rater 2,Feeling Rater 1,Feeling Rater 2
1519,0,0,0,0,0,0,0,0
1300,1,1,0,0,0,0,0,0
736,1,1,0,0,0,0,0,0
1026,1,1,0,0,0,0,0,0
1840,0,0,0,0,0,0,0,0
1587,1,1,0,0,0,0,0,0
196,1,0,0,1,0,0,0,0
199,1,0,1,1,0,0,0,0
881,0,0,0,0,0,0,0,0
533,0,0,0,0,0,0,0,0
136,1,1,0,0,0,0,0,0
1049,1,0,0,0,0,0,0,0
1914,1,1,1,1,0,0,0,0
1339,0,0,1,1,0,0,0,0
1457,0,0,0,0,0,0,0,0
200,0,0,1,1,0,0,0,0
452,0,0,1,1,0,0,0,1
235,0,0,0,0,0,1,1,0
1230,0,0,1,1,0,1,0,0
1433,1,0,0,0,0,0,0,0
137,1,0,0,0,0,0,0,0
449,0,0,1,1,0,0,0,0
1337,1,,0,,0,,0,
161,1,0,1,1,1,1,0,0
50,0,0,0,0,0,0,0,0
1542,0,0,1,0,0,0,0,0
965,1,0,0,0,0,0,0,0
609,1,1,0,0,0,0,0,1
127,1,0,1,1,0,0,0,0
1483,0,0,1,1,0,0,0,0
668,0,0,0,0,0,0,1,1
450,0,1,1,1,0,0,1,1
30,0,0,1,0,0,0,0,0
498,1,0,0,0,0,0,0,0
703,1,1,0,0,0,0,0,0
1448,0,0,1,1,0,0,0,0
208,0,0,0,0,0,0,0,0
678,1,0,1,1,0,0,0,0
1435,1,0,0,0,0,0,0,0
1216,1,1,0,0,0,1,0,0
680,1,0,1,1,0,0,0,0
428,0,0,1,1,0,0,0,0
1299,0,0,0,0,1,1,0,0
1672,0,0,0,0,0,0,0,0
1406,0,0,0,0,0,0,0,0
125,1,0,1,1,0,0,0,0
1228,0,0,0,0,0,0,1,1
1854,0,1,0,0,0,0,0,1
1037,1,0,1,1,0,1,0,0
18,0,0,1,1,0,0,0,0