"Name","State","Notes","User","Tags","Created","Runtime","Sweep","eval/accuracy","eval/f1","eval/loss","eval/precision","eval/recall","train/epoch","train/learning_rate","train/loss","train/total_flos"
"treasured-fog-40","finished","-","sel","9, forum_10_percent","2022-03-25T08:22:49.000Z","53","","0.7105263157894737","0.5708168642951251","0.9206859469413756","0.5784770784770784","0.5898148148148148","3","","","341807075389440"
"sweet-leaf-39","finished","-","sel","8, forum_10_percent","2022-03-25T08:17:54.000Z","51","","0.8947368421052632","0.8595238095238096","0.5154645442962646","0.8253132832080201","0.9285714285714284","3","","","341807075389440"
"graceful-capybara-38","finished","-","sel","7, forum_10_percent","2022-03-25T08:12:58.000Z","52","","0.8918918918918919","0.836720867208672","0.35357168316841125","0.9169719169719168","0.8166666666666668","3","","","342812390317056"
"feasible-water-37","finished","-","sel","6, forum_10_percent","2022-03-25T08:08:03.000Z","51","","0.7105263157894737","0.6025641025641025","1.258381724357605","0.6164021164021164","0.5948148148148148","3","","","341807075389440"
"floral-plasma-36","finished","-","sel","5, forum_10_percent","2022-03-25T08:03:07.000Z","52","","0.7368421052631579","0.6282828282828282","1.068803310394287","0.6666666666666666","0.611111111111111","3","","","341807075389440"
"sparkling-yogurt-35","finished","-","sel","4, forum_10_percent","2022-03-25T07:58:12.000Z","51","","0.8157894736842105","0.71599128540305","0.8037554025650024","0.7854938271604938","0.6892109500805154","3","","","341807075389440"
"super-night-34","finished","-","sel","3, forum_10_percent","2022-03-25T07:53:17.000Z","51","","0.8157894736842105","0.7656084656084655","0.7110425233840942","0.870600414078675","0.7164502164502164","3","","","341807075389440"
"charmed-cloud-33","finished","-","sel","2, forum_10_percent","2022-03-25T07:48:21.000Z","51","","0.7837837837837838","0.811111111111111","1.038917064666748","0.8222222222222223","0.8050065876152832","3","","","342812390317056"
"restful-glitter-32","finished","-","sel","1, forum_10_percent","2022-03-25T07:43:26.000Z","51","","0.9473684210526316","0.9552042160737813","0.3379133343696594","0.9722222222222222","0.9444444444444444","3","","","341807075389440"
"wandering-smoke-31","finished","-","sel","0, forum_10_percent","2022-03-25T07:38:28.000Z","55","","0.8421052631578947","0.7921522921522922","0.8308072090148926","0.7857142857142857","0.8031400966183574","3","","","341807075389440"
"laced-pond-30","finished","-","sel","9, undersampled_mixed_as_pred","2022-03-24T17:37:33.000Z","818","","0.9775112443778112","0.9742929600480996","0.11231573671102524","0.976047533576778","0.9725960061443932","3","0.000005614735907678651","0.017437200546264648","6033900195551232"
"earnest-wood-29","finished","-","sel","8, undersampled_mixed_as_pred","2022-03-24T17:19:43.000Z","824","","0.9790104947526236","0.975674690007294","0.10174592584371568","0.9821349382324992","0.969880633875283","3","0.000005614735907678651","0.016895280838012696","6033900195551232"
"ruby-wind-28","finished","-","sel","7, undersampled_mixed_as_pred","2022-03-24T17:01:56.000Z","820","","0.9760119940029984","0.9726779313876088","0.16977721452713013","0.9738184692452984","0.9715626979424206","3","0.000005614735907678651","0.012812724113464355","6033900195551232"
"northern-sun-27","finished","-","sel","6, undersampled_mixed_as_pred","2022-03-24T16:44:10.000Z","820","","0.9805097451274364","0.9761938100062324","0.1123122051358223","0.9815828632345756","0.9711810082572794","3","0.000005614735907678651","0.023939645767211915","6033900195551232"
"frosty-cosmos-26","finished","-","sel","5, undersampled_mixed_as_pred","2022-03-24T16:26:25.000Z","820","","0.9835082458770614","0.9819145396058518","0.08988387137651443","0.9833517928838432","0.9805291202957254","3","0.000005614735907678651","0.018553874969482423","6033900195551232"
"upbeat-armadillo-25","finished","-","sel","4, undersampled_mixed_as_pred","2022-03-24T16:08:38.000Z","820","","0.981981981981982","0.9798639455782312","0.10084444284439088","0.983108108108108","0.9768385003604902","3","0.000005614735907678651","0.01180630874633789","6034905510478848"
"clean-flower-24","finished","-","sel","3, undersampled_mixed_as_pred","2022-03-24T15:50:52.000Z","821","","0.9790104947526236","0.9765767663997752","0.11220131069421768","0.9776168929110104","0.9755606728073688","3","0.000005614735907678651","0.013818368911743165","6033900195551232"
"dutiful-feather-23","finished","-","sel","2, undersampled_mixed_as_pred","2022-03-24T15:33:07.000Z","820","","0.985007496251874","0.9832327802916038","0.09528594464063644","0.982190516324524","0.9842994195420832","3","0.000005614735907678651","0.016183116912841796","6033900195551232"
"worthy-aardvark-22","finished","-","sel","1, undersampled_mixed_as_pred","2022-03-24T15:15:20.000Z","821","","0.9715142428785608","0.9684456893868658","0.17661352455615997","0.9709451341609932","0.9660919540229884","3","0.000005614735907678651","0.01653345489501953","6033900195551232"
"divine-glade-21","finished","-","sel","0, undersampled_mixed_as_pred","2022-03-24T14:57:34.000Z","818","","0.9730134932533732","0.9700125884186548","0.1867423504590988","0.9730920060331824","0.96714524008102","3","0.000005614735907678651","0.018494909286499023","6033900195551232"
"volcanic-morning-20","finished","-","sel","9, undersampled_synthetic","2022-03-24T13:36:59.000Z","1100","","0.8707865168539326","0.8522821576763484","0.3988073766231537","0.865442054958184","0.8428611461398346","3","9.98003992015968e-8","0.2602016296386719","8053577885131776"
"comfy-valley-19","finished","-","sel","8, undersampled_synthetic","2022-03-24T13:14:30.000Z","1104","","0.8764044943820225","0.8585758778696528","0.4222504794597626","0.8634660421545668","0.8542893667534128","3","9.98003992015968e-8","0.26936648559570314","8053577885131776"
"glad-energy-18","finished","-","sel","7, undersampled_synthetic","2022-03-24T12:52:02.000Z","1102","","0.8797752808988764","0.8620532810691559","0.3814547061920166","0.8697856614929785","0.8556966056966058","3","9.98003992015968e-8","0.27399090576171875","8053577885131776"
"easy-totem-17","finished","-","sel","6, undersampled_synthetic","2022-03-24T12:29:33.000Z","1102","","0.8808988764044944","0.8608258981258556","0.3698605298995972","0.875034418616035","0.85039532131648","3","9.98003992015968e-8","0.24755485534667968","8053577885131776"
"honest-dust-16","finished","-","sel","5, undersampled_synthetic","2022-03-24T12:07:28.000Z","1080","","0.877665544332211","0.853158145406987","0.40257513523101807","0.8710916715230446","0.8404750557931933","3","9.98003992015968e-8","0.24175935363769532","8052572570204160"
"chocolate-field-15","finished","-","sel","4, undersampled_synthetic","2022-03-24T11:45:37.000Z","1066","","0.8640449438202247","0.8462210709547888","0.44789984822273254","0.8594087213599408","0.83706525596664","3","9.98003992015968e-8","0.26141278076171875","8053577885131776"
"charmed-yogurt-14","finished","-","sel","3, undersampled_synthetic","2022-03-24T11:23:43.000Z","1070","","0.8685393258426967","0.8423063584777937","0.41517236828804016","0.8547043086542738","0.8327573235529224","3","9.98003992015968e-8","0.2662095947265625","8053577885131776"
"amber-cosmos-13","finished","-","sel","2, undersampled_synthetic","2022-03-24T11:01:30.000Z","1087","","0.8898876404494382","0.8686319163292847","0.3492656648159027","0.8920199469441894","0.8533045977011495","3","9.98003992015968e-8","0.2641550903320313","8053577885131776"
"zany-dew-12","finished","-","sel","1, undersampled_synthetic","2022-03-24T10:39:16.000Z","1086","","0.8707865168539326","0.8540981526702105","0.4025379717350006","0.8709368456120312","0.8432760224839106","3","9.98003992015968e-8","0.2592286987304688","8053577885131776"
"classic-dust-11","finished","-","sel","0, undersampled_synthetic","2022-03-24T10:17:10.000Z","1078","","0.8651685393258427","0.8430667230921145","0.4386888146400452","0.8601434709646486","0.8315535711254096","3","9.98003992015968e-8","0.24388166809082032","8053577885131776"
"sunny-monkey-10","finished","-","sel","9, undersampled_forum","2022-03-24T09:17:19.000Z","133","","0.944954128440367","0.9198529411764708","0.23227983713150024","0.9198529411764708","0.9198529411764708","3","","","985208629063680"
"resilient-planet-9","finished","-","sel","8, undersampled_forum","2022-03-24T09:11:04.000Z","132","","0.8807339449541285","0.8735385988398037","0.7035244703292847","0.8645617667356797","0.8965840840840841","3","","","985208629063680"
"restful-galaxy-8","finished","-","sel","7, undersampled_forum","2022-03-24T09:04:48.000Z","133","","0.908256880733945","0.8931372549019607","0.4430580735206604","0.8999202551834131","0.8872586872586873","3","","","985208629063680"
"fiery-snow-7","finished","-","sel","6, undersampled_forum","2022-03-24T08:58:30.000Z","134","","0.8715596330275229","0.8527027027027028","0.5651842951774597","0.8811000827129859","0.8375457875457876","3","","","985208629063680"
"generous-pyramid-6","finished","-","sel","5, undersampled_forum","2022-03-24T08:52:15.000Z","132","","0.8990825688073395","0.8929941990182954","0.6950449347496033","0.8912579957356077","0.8949067431850789","3","","","985208629063680"
"gentle-oath-5","finished","-","sel","4, undersampled_forum","2022-03-24T08:46:00.000Z","132","","0.8888888888888888","0.875","0.5660843849182129","0.875","0.875","3","","","986213943991296"
"confused-meadow-4","finished","-","sel","3, undersampled_forum","2022-03-24T08:39:46.000Z","132","","0.8715596330275229","0.8478867623604465","0.7601261734962463","0.870042194092827","0.8337138508371384","3","","","985208629063680"
"smooth-cloud-3","finished","-","sel","2, undersampled_forum","2022-03-24T08:33:30.000Z","133","","0.8715596330275229","0.8567942942942943","0.8435900807380676","0.882177033492823","0.8437948350071736","3","","","985208629063680"
"mild-dragon-2","finished","-","sel","1, undersampled_forum","2022-03-24T08:27:15.000Z","132","","0.8256880733944955","0.8151717983043284","0.8592098951339722","0.8417047184170472","0.8081674673987645","3","","","985208629063680"
"fresh-hill-1","finished","-","sel","0, undersampled_forum","2022-03-24T08:21:01.000Z","131","","0.908256880733945","0.8825431034482759","0.4950440227985382","0.8678660049627791","0.901761517615176","3","","","985208629063680"